Data Zone,Council Area,All ages,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
Culter - 01,Aberdeen City,894,11,8,9,12,9,10,15,12,12,9,10,12,9,7,8,11,3,8,4,2,8,5,2,8,9,24,14,18,6,11,17,10,23,19,12,21,12,15,11,10,7,10,13,16,14,19,11,14,16,13,7,12,10,16,13,12,8,15,10,19,11,10,15,9,8,11,12,1,12,13,13,6,10,11,7,5,1,3,5,7,4,3,1,1,6,3,1,4,2,2,6
Culter - 02,Aberdeen City,793,8,7,7,7,9,10,9,6,7,15,5,11,1,5,6,4,8,5,12,5,9,9,9,7,11,17,12,6,8,11,3,4,9,6,5,5,6,12,10,8,11,10,7,7,9,9,11,6,8,14,8,10,18,14,10,17,7,6,17,10,13,14,20,9,8,12,18,13,15,20,21,13,5,12,8,6,9,8,6,6,10,3,3,6,5,1,2,0,2,0,2
Culter - 03,Aberdeen City,624,7,4,4,7,4,7,8,5,7,4,5,6,5,7,3,3,7,7,1,3,3,6,4,8,13,14,9,13,9,18,9,13,9,9,16,5,12,11,12,9,8,3,14,12,10,19,4,9,6,12,9,12,15,7,11,9,12,9,11,3,12,8,8,6,12,8,4,9,4,4,6,2,4,3,0,7,4,0,4,1,1,2,0,1,4,0,1,1,3,2,2
Culter - 04,Aberdeen City,537,3,7,5,8,6,8,5,3,8,5,9,11,4,8,6,8,7,5,3,0,0,2,3,3,3,7,9,3,14,5,4,4,4,5,11,7,0,11,12,5,7,11,5,6,8,13,7,4,6,6,7,9,6,6,8,8,6,6,6,5,8,11,8,6,7,11,7,15,9,10,11,0,2,5,5,5,2,5,6,4,3,4,1,5,1,2,1,2,5,2,3
Culter - 05,Aberdeen City,663,6,4,6,3,5,9,2,7,6,7,8,5,6,5,6,5,9,15,7,4,5,6,3,5,7,12,13,9,5,11,9,4,8,8,0,8,12,11,7,4,4,11,8,8,14,9,14,9,6,13,9,10,11,6,14,13,6,15,8,10,4,12,5,6,8,6,8,3,10,2,6,5,8,7,12,7,6,4,7,8,5,1,4,3,5,2,1,5,7,4,22
Culter - 06,Aberdeen City,759,5,13,3,5,4,7,7,5,10,3,12,7,7,4,8,7,10,8,7,6,16,8,7,6,9,9,5,9,10,6,9,9,9,3,0,11,6,8,5,9,9,8,11,4,4,13,9,6,10,12,12,12,13,14,10,17,9,4,13,13,19,17,7,10,12,8,12,10,8,9,15,12,12,10,7,7,11,9,14,8,4,9,2,4,2,4,4,3,5,1,9
Culter - 07,Aberdeen City,539,1,6,2,0,6,2,10,3,9,14,11,10,15,10,14,11,17,11,2,8,5,3,7,1,2,4,6,8,4,2,4,3,4,3,5,3,3,2,9,5,10,7,6,9,6,12,11,14,7,7,10,15,10,13,13,13,11,3,11,9,4,8,3,4,8,15,2,6,3,3,4,3,6,4,0,1,2,1,2,3,3,1,1,2,1,1,2,1,0,1,2
"Cults, Bieldside and Milltimber West - 01",Aberdeen City,788,5,3,3,9,10,9,5,14,7,9,14,9,3,7,6,5,17,8,13,7,5,4,5,4,0,6,5,5,7,2,5,9,8,5,5,10,8,11,19,11,7,3,5,7,5,6,4,5,19,10,8,4,19,15,17,10,7,9,10,7,9,14,14,8,5,15,8,6,6,6,9,4,6,16,7,7,13,6,13,8,12,15,14,7,7,6,6,5,10,8,44
"Cults, Bieldside and Milltimber West - 02",Aberdeen City,1.123,6,13,8,8,7,13,14,10,13,17,14,7,18,15,28,13,23,16,16,3,17,14,12,17,16,20,15,14,14,9,17,10,11,16,11,10,18,18,11,11,12,9,9,9,16,14,20,16,23,19,16,12,23,16,13,20,14,13,14,17,12,14,12,13,14,7,6,11,2,7,14,14,7,8,15,13,8,5,8,6,5,6,2,2,6,4,8,4,3,9,30
"Cults, Bieldside and Milltimber West - 03",Aberdeen City,816,6,4,5,9,7,14,8,6,17,11,14,11,16,13,9,16,20,22,10,13,1,9,9,1,9,9,8,11,7,10,5,6,3,3,3,5,16,5,9,9,15,11,4,9,22,12,21,13,16,15,15,26,17,7,13,7,17,13,10,8,10,12,11,17,5,9,9,17,7,5,4,12,2,6,8,1,5,3,7,3,5,7,3,1,0,2,0,0,1,0,4
"Cults, Bieldside and Milltimber West - 04",Aberdeen City,629,4,2,4,4,7,5,5,5,5,6,8,7,9,6,5,7,18,9,13,17,15,8,6,9,15,6,16,8,6,7,6,4,0,6,9,11,5,4,1,12,5,6,7,6,12,6,11,10,6,8,11,13,15,9,8,6,5,2,10,11,9,8,5,9,10,8,3,8,4,8,11,6,4,6,6,6,5,3,4,11,5,3,4,1,1,4,2,2,0,2,4
